id,typ,instytucja,miasto,data_zlozenia,data_decyzji,dni,termin_ustawowy,wynik,rok
TZ-001,Pobyt czasowy,Pomorski UW,Gdańsk,2024-01-15,2024-11-08,298,60,Pozytywna,2024
TZ-002,Pobyt czasowy,Pomorski UW,Gdańsk,2024-02-02,2025-01-20,353,60,Pozytywna,2024
TZ-003,Pobyt stały,Pomorski UW,Gdańsk,2024-03-11,2025-04-02,387,90,Pozytywna,2024
TZ-004,Pobyt czasowy,Mazowiecki UW,Warszawa,2024-01-08,2024-12-03,330,60,Pozytywna,2024
TZ-005,Pobyt czasowy,Mazowiecki UW,Warszawa,2024-04-22,2025-06-10,414,60,Pozytywna,2024
TZ-006,Pobyt stały,Mazowiecki UW,Warszawa,2024-05-06,2025-08-14,465,90,Pozytywna,2024
TZ-007,Pobyt czasowy,Dolnośląski UW,Wrocław,2024-02-19,2024-09-30,224,60,Pozytywna,2024
TZ-008,Pobyt czasowy,Dolnośląski UW,Wrocław,2024-06-03,2025-02-11,254,60,Negatywna,2024
TZ-009,Obywatelstwo,Pomorski UW,Gdańsk,2023-09-04,2025-03-17,560,180,Pozytywna,2023
TZ-010,Obywatelstwo,Mazowiecki UW,Warszawa,2023-10-16,2025-05-05,567,180,Pozytywna,2023
TZ-011,Pobyt czasowy,Pomorski UW,Gdańsk,2025-01-13,2025-07-28,196,60,Pozytywna,2025
TZ-012,Pobyt czasowy,Pomorski UW,Gdańsk,2025-02-10,2025-08-04,175,60,Pozytywna,2025
TZ-013,Pobyt czasowy,Małopolski UW,Kraków,2024-03-04,2024-12-16,287,60,Pozytywna,2024
TZ-014,Pobyt czasowy,Małopolski UW,Kraków,2024-08-19,2025-05-26,280,60,Pozytywna,2024
TZ-015,Pobyt stały,Dolnośląski UW,Wrocław,2024-04-08,2025-03-24,350,90,Pozytywna,2024
TZ-016,Karta pobytu (wydanie),Pomorski UW,Gdańsk,2025-03-03,2025-05-19,77,30,Pozytywna,2025
TZ-017,Karta pobytu (wydanie),Mazowiecki UW,Warszawa,2025-02-17,2025-06-02,105,30,Pozytywna,2025
TZ-018,Pobyt czasowy,Wielkopolski UW,Poznań,2024-05-13,2025-01-27,259,60,Pozytywna,2024
TZ-019,Pobyt czasowy,Wielkopolski UW,Poznań,2024-09-02,2025-06-16,287,60,Pozytywna,2024
TZ-020,Obywatelstwo,Dolnośląski UW,Wrocław,2023-11-20,2025-07-07,595,180,Pozytywna,2023
TZ-021,Pobyt czasowy,Śląski UW,Katowice,2024-07-01,2025-03-10,252,60,Pozytywna,2024
TZ-022,Pobyt czasowy,Śląski UW,Katowice,2025-01-20,2025-08-11,203,60,Pozytywna,2025
TZ-023,Pobyt stały,Pomorski UW,Gdańsk,2025-01-06,2025-08-18,224,90,Pozytywna,2025
TZ-024,Karta pobytu (wydanie),Dolnośląski UW,Wrocław,2025-04-07,2025-06-30,84,30,Pozytywna,2025
TZ-025,Pobyt czasowy,Mazowiecki UW,Warszawa,2025-03-17,2025-08-04,140,60,Pozytywna,2025
